time,spring,summer,fall,winter
0,76.5,76.5,76.5,80.5
300,76.5,76.5,76.5,80.5
600,76.5,76.5,76.5,80.5
900,76.5,76.5,76.5,80.5
1200,76.5,76.5,76.5,80.5
1500,76.5,76.5,76.5,80.5
1800,76.5,76.5,76.5,80.5
2100,76.5,76.5,76.5,80.5
2400,76.5,76.5,76.5,80.5
2700,76.5,76.5,76.5,80.5
3000,76.5,76.5,76.5,80.5
3300,76.5,76.5,76.5,80.5
3600,76.5,76.5,76.5,80.5
3900,76.5,76.5,76.5,80.5
4200,76.5,76.5,76.5,80.5
4500,76.5,76.5,76.5,80.5
4800,76.5,76.5,76.5,80.5
5100,76.5,76.5,76.5,80.5
5400,76.5,76.5,76.5,80.5
5700,76.5,76.5,76.5,80.5
6000,76.5,76.5,76.5,80.5
6300,76.5,76.5,76.5,80.5
6600,76.5,76.5,76.5,80.5
6900,76.5,76.5,76.5,80.5
7200,76.5,76.5,76.5,80.5
7500,76.5,76.5,76.5,80.5
7800,76.5,76.5,76.5,80.5
8100,76.5,76.5,76.5,80.5
8400,76.5,76.5,76.5,80.5
8700,76.5,76.5,76.5,80.5
9000,76.5,76.5,76.5,80.5
9300,76.5,76.5,76.5,80.5
9600,76.5,76.5,76.5,80.5
9900,76.5,76.5,76.5,80.5
10200,76.5,76.5,76.5,80.5
10500,76.5,76.5,76.5,80.5
10800,76.5,76.5,76.5,80.5
11100,76.5,76.5,76.5,80.5
11400,76.5,76.5,76.5,80.5
11700,76.5,76.5,76.5,80.5
12000,76.5,76.5,76.5,80.5
12300,76.5,76.5,76.5,80.5
12600,76.5,76.5,76.5,80.5
12900,76.5,76.5,76.5,80.5
13200,76.5,76.5,76.5,80.5
13500,76.5,76.5,76.5,80.5
13800,76.5,76.5,76.5,80.5
14100,76.5,76.5,76.5,80.5
14400,76.5,76.5,76.5,80.5
14700,76.5,76.5,76.5,80.5
15000,76.5,76.5,76.5,80.5
15300,76.5,76.5,76.5,80.5
15600,76.5,76.5,76.5,80.5
15900,76.5,76.5,76.5,80.5
16200,76.5,76.5,76.5,80.5
16500,76.5,76.5,76.5,80.5
16800,76.5,76.5,76.5,80.5
17100,76.5,76.5,76.5,80.5
17400,76.5,76.5,76.5,80.5
17700,76.5,76.5,76.5,80.5
18000,76.5,76.5,76.5,80.5
18300,76.5,76.5,76.5,80.5
18600,76.5,76.5,76.5,80.5
18900,76.5,76.5,76.5,80.5
19200,76.5,76.5,76.5,80.5
19500,76.5,76.5,76.5,80.5
19800,76.5,76.5,76.5,80.5
20100,76.5,76.5,76.5,80.5
20400,76.5,76.5,76.5,80.5
20700,76.5,76.5,76.5,80.5
21000,76.5,76.5,76.5,80.5
21300,76.5,76.5,76.5,80.5
21600,76.5,76.5,76.5,80.5
