,0
0,8.000350000000001
1,7.8687
2,7.7491
3,7.6258
4,7.51145
5,7.4144
6,7.332
7,7.2440999999999995
8,7.1775
9,7.11385
10,7.0562000000000005
11,7.02515
12,6.9801
13,6.9372
14,6.9277
15,6.9101
16,6.91245
17,6.905900000000001
18,6.91875
19,6.9384999999999994
20,6.963850000000001
21,6.9834499999999995
22,7.0249
23,7.0676000000000005
24,7.1164000000000005
25,7.184850000000001
26,7.2396
27,7.2985
28,7.382999999999999
29,7.46785
30,7.546049999999999
31,7.62165
32,7.72085
33,7.82845
34,7.92125
35,8.0347
36,8.148
37,8.2548
38,8.3788
39,8.4854
40,8.6236
41,8.7576
42,8.8856
43,9.03675
44,9.1598
45,9.3066
46,9.453700000000001
47,9.60695
48,9.740649999999999
49,9.9048
50,10.051300000000001
51,10.20035
52,10.3636
53,10.519350000000001
54,10.6735
55,10.8364
56,10.994349999999999
57,11.1581
58,11.322700000000001
59,11.48975
60,11.637649999999999
61,11.81795
62,11.959599999999998
63,12.131749999999998
64,12.2982
65,12.4589
66,12.616
67,12.7794
68,12.93845
69,13.097650000000002
70,13.26385
71,13.419
72,13.57005
73,13.733500000000001
74,13.88425
75,14.039200000000001
76,14.1889
77,14.330300000000001
78,14.4789
79,14.63095
80,14.773499999999999
81,14.91135
82,15.05105
83,15.1938
84,15.3185
85,15.45635
86,15.5819
87,15.7087
88,15.839749999999999
89,15.95985
90,16.0785
91,16.19695
92,16.30325
93,16.4167
94,16.51855
95,16.625799999999998
96,16.7243
97,16.82315
98,16.92025
99,17.00415
100,17.10725
101,17.17585
102,17.2561
103,17.3464
104,17.4191
105,17.4894
106,17.557199999999998
107,17.618199999999998
108,17.67445
109,17.7369
110,17.786949999999997
111,17.846
112,17.887150000000002
113,17.9271
114,17.96975
115,18.01015
116,18.0382
117,18.06655
118,18.098300000000002
119,18.12115
120,18.136699999999998
121,18.153
122,18.1694
123,18.17005
124,18.17645
125,18.182949999999998
126,18.18525
127,18.1845
128,18.18395
129,18.171
130,18.15295
131,18.13795
132,18.11415
133,18.09765
134,18.0718
135,18.04775
136,18.01185
137,17.9862
138,17.95625
139,17.90995
140,17.872349999999997
141,17.8312
142,17.780549999999998
143,17.73655
144,17.686
145,17.63485
146,17.576700000000002
147,17.52525
148,17.47025
149,17.4159
150,17.35235
151,17.2959
152,17.2165
153,17.159299999999998
154,17.08865
155,17.0307
156,16.9455
157,16.8746
158,16.8041
159,16.72345
160,16.6582
161,16.58265
162,16.51235
163,16.4378
164,16.3697
165,16.2884
166,16.20365
167,16.125
168,16.0551
169,15.968549999999999
170,15.90785
171,15.827549999999999
172,15.7423
173,15.6595
174,15.599499999999999
175,15.5165
176,15.44875
177,15.3599
178,15.29175
179,15.22245
180,15.1512
181,15.078149999999999
182,15.01435
183,14.9374
184,14.875350000000001
185,14.8112
186,14.74915
187,14.6876
188,14.617
189,14.555499999999999
190,14.51245
191,14.4516
192,14.39195
193,14.351700000000001
194,14.29405
195,14.25135
196,14.1994
197,14.165700000000001
198,14.1222
199,14.07205
200,14.0409
201,14.004000000000001
202,13.9748
203,13.93205
204,13.91235
205,13.8884
206,13.8502
207,13.83205
208,13.808800000000002
209,13.80165
210,13.7928
211,13.78525
212,13.7686
213,13.7698
214,13.7496
215,13.7456
216,13.754150000000001
217,13.75865
218,13.76085
219,13.75675
220,13.775599999999999
221,13.7798
222,13.8025
223,13.815249999999999
224,13.8245
225,13.844399999999998
226,13.86085
227,13.886750000000001
228,13.914100000000001
229,13.9273
230,13.95945
231,13.9794
232,14.00415
233,14.034500000000001
234,14.056949999999999
235,14.087050000000001
236,14.111450000000001
237,14.155549999999998
238,14.17295
239,14.196100000000001
240,14.22715
241,14.25085
242,14.27455
243,14.30175
244,14.32375
245,14.33635
246,14.35325
247,14.369499999999999
248,14.370849999999999
249,14.38375
250,14.40415
251,14.407300000000001
252,14.395050000000001
253,14.392499999999998
254,14.3795
255,14.37705
256,14.34445
257,14.3096
258,14.270499999999998
259,14.225449999999999
260,14.18595
261,14.124350000000002
262,14.056
263,13.9865
264,13.9015
265,13.82345
266,13.716550000000002
267,13.59845
268,13.481399999999999
269,13.337349999999999
270,13.18325
271,13.033349999999999
272,12.85215
273,12.65355
274,12.45255
275,12.2279
276,11.9878
277,11.7453
278,11.47815
279,11.170100000000001
280,10.870249999999999
281,10.5338
282,10.1837
283,9.8106
284,9.41415
285,9.0005
286,8.55345
