일시,출력_AC
2023-06-23 00:00:00,12.7600002288818
2023-06-23 00:05:00,10.6999998092651
2023-06-23 00:10:00,10.539999961853
2023-06-23 00:15:00,14.1400003433228
2023-06-23 00:20:00,17.2999992370605
2023-06-23 00:25:00,20.0499992370605
2023-06-23 00:30:00,10.8000001907349
2023-06-23 00:35:00,8.15999984741211
2023-06-23 00:40:00,7.82999992370605
2023-06-23 00:45:00,8.17000007629395
2023-06-23 00:50:00,7.1100001335144
2023-06-23 00:55:00,8.03999996185303
2023-06-23 01:00:00,6.30000019073486
2023-06-23 01:05:00,5.98999977111816
2023-06-23 01:10:00,6.51000022888184
2023-06-23 01:20:00,8.67000007629395
2023-06-23 01:25:00,5.15999984741211
2023-06-23 01:30:00,4.82000017166138
2023-06-23 01:35:00,6.17999982833862
2023-06-23 01:40:00,6.75
2023-06-23 01:45:00,7.15999984741211
2023-06-23 01:50:00,6.75
2023-06-23 01:55:00,6.32999992370605
2023-06-23 02:00:00,7.09999990463257
2023-06-23 02:05:00,7.76000022888184
2023-06-23 02:10:00,6.86999988555908
2023-06-23 02:15:00,6.1399998664856
2023-06-23 02:20:00,5.71000003814697
2023-06-23 02:25:00,5.03000020980835
2023-06-23 02:30:00,4.94000005722046
2023-06-23 02:35:00,4.30000019073486
2023-06-23 02:40:00,4.73999977111816
2023-06-23 02:45:00,5.30000019073486
2023-06-23 02:50:00,4.84999990463257
2023-06-23 02:55:00,4.17000007629395
2023-06-23 03:00:00,3.75999999046326
2023-06-23 03:05:00,3.52999997138977
2023-06-23 03:15:00,3.52999997138977
2023-06-23 03:25:00,3.5
2023-06-23 03:30:00,3.5
2023-06-23 05:10:00,3.5
2023-06-23 05:20:00,3.49
2023-06-23 05:25:00,3.49
2023-06-23 05:30:00,3.5
2023-06-23 05:35:00,3.47
2023-06-23 05:40:00,3.49
2023-06-23 05:45:00,3.65
2023-06-23 05:50:00,3.63
2023-06-23 05:55:00,3.63
2023-06-23 06:00:00,3.81
2023-06-23 06:05:00,5.03
2023-06-23 06:10:00,6.57
2023-06-23 06:15:00,7.76
2023-06-23 06:20:00,8.33
2023-06-23 06:25:00,9.47
2023-06-23 06:30:00,10.08
2023-06-23 06:35:00,11.1
2023-06-23 06:40:00,11.76
2023-06-23 06:45:00,12.88
2023-06-23 06:50:00,13.59
2023-06-23 06:55:00,14.76
2023-06-23 07:00:00,15.37
2023-06-23 07:05:00,16.23
2023-06-23 07:10:00,16.99
2023-06-23 07:15:00,18.2
2023-06-23 07:20:00,19.31
2023-06-23 07:25:00,5.3
2023-06-23 07:30:00,15.74
2023-06-23 07:35:00,25.83
2023-06-23 07:40:00,27.38
2023-06-23 07:45:00,28.21
2023-06-23 07:50:00,27.8
2023-06-23 07:55:00,28.82
2023-06-23 08:00:00,28.66
2023-06-23 08:05:00,27.93
2023-06-23 08:10:00,21.41
2023-06-23 08:15:00,23.62
2023-06-23 08:20:00,21.41
2023-06-23 08:25:00,26.4
2023-06-23 08:30:00,20.78
2023-06-23 08:35:00,32.17
2023-06-23 08:40:00,31.77
2023-06-23 08:45:00,32.27
2023-06-23 08:50:00,31.66
2023-06-23 08:55:00,33.04
2023-06-23 09:00:00,33.98
2023-06-23 09:05:00,36.02
2023-06-23 09:10:00,35.24
2023-06-23 09:15:00,23.84
2023-06-23 09:20:00,19.75
2023-06-23 09:25:00,22.22
2023-06-23 09:30:00,21.91
2023-06-23 09:35:00,42.2
2023-06-23 09:40:00,16.59
2023-06-23 09:45:00,19.18
2023-06-23 09:50:00,34.55
2023-06-23 09:55:00,40.72
2023-06-23 10:00:00,25.91
2023-06-23 10:05:00,21.14
2023-06-23 10:10:00,21.72
2023-06-23 10:15:00,19.96
2023-06-23 10:20:00,26.68
2023-06-23 10:25:00,24.44
2023-06-23 10:30:00,37
2023-06-23 10:35:00,24.98
2023-06-23 10:40:00,45.72
2023-06-23 10:45:00,49.34
2023-06-23 10:50:00,36.75
2023-06-23 10:55:00,29.51
2023-06-23 11:00:00,26.48
2023-06-23 11:05:00,34.91
2023-06-23 11:10:00,28.54
2023-06-23 11:15:00,32.92
2023-06-23 11:20:00,39.05
2023-06-23 11:25:00,42.78
2023-06-23 11:30:00,26.15
2023-06-23 11:35:00,45.01
2023-06-23 11:40:00,44.92
2023-06-23 11:45:00,24.78
2023-06-23 11:50:00,23.19
2023-06-23 11:55:00,22.36
2023-06-23 12:00:00,43.8
2023-06-23 12:05:00,25.03
2023-06-23 12:10:00,48.72
2023-06-23 12:15:00,29.85
2023-06-23 12:20:00,24.57
2023-06-23 12:25:00,49.53
2023-06-23 12:30:00,24.74
2023-06-23 12:35:00,25.62
2023-06-23 12:40:00,25.56
2023-06-23 12:45:00,33.02
2023-06-23 12:50:00,47.16
