,0
0,1
1,1
2,3
3,1
4,0
5,0
6,5
7,6
8,6
9,6
10,6
11,4
12,6
13,1
14,0
15,4
16,4
17,1
18,3
19,0
20,4
21,0
22,0
23,3
24,6
25,4
26,0
27,6
28,0
29,4
30,1
31,3
32,1
33,3
34,4
35,0
36,3
37,4
38,4
39,4
40,6
41,6
42,3
43,1
44,4
45,6
46,0
47,4
48,4
49,1
50,6
51,1
52,2
53,3
54,6
55,3
56,0
57,0
58,0
59,1
60,4
61,4
62,0
63,3
64,0
65,0
66,0
67,0
68,0
69,0
70,6
71,6
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,5
86,0
87,2
88,3
89,0
90,0
91,1
92,2
93,0
94,2
95,1
96,1
97,0
98,3
99,2
100,0
101,2
102,2
103,1
104,1
105,0
106,2
107,3
108,2
109,0
110,2
111,4
112,2
113,3
114,1
115,3
116,1
117,6
118,0
119,0
120,0
121,4
122,3
123,6
124,2
125,4
126,6
127,1
128,0
129,6
130,2
131,3
132,3
133,4
134,0
135,4
136,0
137,0
138,6
139,4
140,2
141,1
142,0
143,2
144,2
145,6
146,2
147,3
148,1
149,3
150,0
151,6
152,0
153,2
154,3
155,4
156,3
157,4
158,4
159,3
160,0
161,1
162,2
163,3
164,1
165,2
166,3
167,6
168,6
169,4
170,3
171,6
172,1
173,4
174,3
175,6
176,1
177,1
178,1
179,0
180,1
181,3
182,3
183,0
184,1
185,3
186,1
187,0
188,0
189,0
190,0
191,3
192,1
193,1
194,0
195,0
196,3
197,0
198,1
199,0
200,0
201,0
202,1
203,0
204,1
205,0
206,3
207,1
208,0
209,2
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,1
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,4
233,1
234,0
235,0
236,0
237,1
238,0
239,0
240,0
241,0
242,5
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,4
255,5
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,4
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,6
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
